"Department","DistinguishedName","Enabled","GivenName","mail","Manager","Name","ObjectClass","ObjectGUID","OfficePhone","SamAccountName","SID","sn","Surname","Title","UserPrincipalName","Office"
"Direction Générale","CN=Pauline Renaud,OU=Direction Générale,OU=Utilisateurs,DC=contoso,DC=fr","True","Pauline","pauliner@contoso.fr","","Pauline Renaud","user","b7de08a6-8417-491b-be62-85945a538f46","01 99 00 01 79","pauliner","S-1-5-21-331390976-2650875657-2422772959-1705","Renaud","Renaud","Président-directeur général","pauline.renaud@contoso.fr","Paris"
"Exploitation","CN=Delphine Bassot,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","True","Delphine","delphineb@contoso.fr","CN=Pauline Renaud,OU=Direction Générale,OU=Utilisateurs,DC=contoso,DC=fr","Delphine Bassot","user","7846c22f-d3d8-4e02-8b62-d055d0284783","03 53 01 54 72","delphineb","S-1-5-21-331390976-2650875657-2422772959-1706","Bassot","Bassot","Directeur des services professionnels","delphine.bassot@contoso.fr","Metz"
"Gestion de Projet","CN=Élodie Noël,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Élodie","elodien@contoso.fr","CN=Delphine Bassot,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","Élodie Noël","user","5ff9eed7-6b0d-4b20-bed5-b0b904191880","01 99 00 24 43","elodien","S-1-5-21-331390976-2650875657-2422772959-1707","Noël","Noël","Directeur du pôle gestion de projet","elodie.noel@contoso.fr","Paris"
"Gestion de Projet","CN=Florian Ozanne,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Florian","floriano@contoso.fr","CN=Élodie Noël,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Florian Ozanne","user","72d2b1b2-1f94-4d3a-be01-c327e35c72b6","03 53 01 19 31","floriano","S-1-5-21-331390976-2650875657-2422772959-1708","Ozanne","Ozanne","Chef de projet","florian.ozanne@contoso.fr","Metz"
"Exploitation","CN=Émilie Imbert,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","True","Émilie","emiliei@contoso.fr","CN=Delphine Bassot,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","Émilie Imbert","user","f04f136b-df92-46bf-a161-f2990a823694","03 53 01 93 27","emiliei","S-1-5-21-331390976-2650875657-2422772959-1709","Imbert","Imbert","Directeur financier des services professionnels","emilie.imbert@contoso.fr","Metz"
"Ingénierie","CN=Virginie Loiseau,OU=Ingénierie,OU=Utilisateurs,DC=contoso,DC=fr","True","Virginie","virginiel@contoso.fr","CN=Delphine Bassot,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","Virginie Loiseau","user","bfb3de68-ea0c-4087-a0c8-176f83b674e3","03 53 01 29 87","virginiel","S-1-5-21-331390976-2650875657-2422772959-1710","Loiseau","Loiseau","Directeur général délégué","virginie.loiseau@contoso.fr","Metz"
"Direction Générale","CN=Aurélie Clerc,OU=Direction Générale,OU=Utilisateurs,DC=contoso,DC=fr","True","Aurélie","aureliec@contoso.fr","CN=Pauline Renaud,OU=Direction Générale,OU=Utilisateurs,DC=contoso,DC=fr","Aurélie Clerc","user","8724dd1b-c401-4487-9ea8-4c224ef67710","01 99 00 01 21","aureliec","S-1-5-21-331390976-2650875657-2422772959-1711","Clerc","Clerc","Directeur des opérations","aurelie.clerc@contoso.fr","Paris"
"Comptabilité","CN=Antoine Lefebvre,OU=Comptabilité,OU=Utilisateurs,DC=contoso,DC=fr","True","Antoine","antoinel@contoso.fr","CN=Émilie Imbert,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","Antoine Lefebvre","user","7db937b4-a31a-448f-bc54-7b871e609506","01 99 00 41 56","antoinel","S-1-5-21-331390976-2650875657-2422772959-1712","Lefebvre","Lefebvre","Contrôleur de gestion","antoine.lefebvre@contoso.fr","Paris"
"Direction Commerciale","CN=Maxime Lefebvre,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","True","Maxime","maximel@contoso.fr","CN=Delphine Bassot,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","Maxime Lefebvre","user","242f6e15-e469-4e42-9510-0483f6d019c9","01 99 00 65 63","maximel","S-1-5-21-331390976-2650875657-2422772959-1713","Lefebvre","Lefebvre","Vice-président ventes France","maxime.lefebvre@contoso.fr","Paris"
"Direction Générale","CN=Pauline Poirier,OU=Direction Générale,OU=Utilisateurs,DC=contoso,DC=fr","True","Pauline","paulinep@contoso.fr","CN=Aurélie Clerc,OU=Direction Générale,OU=Utilisateurs,DC=contoso,DC=fr","Pauline Poirier","user","0b23837b-8fdb-4edf-a50b-325ed0625086","01 99 00 01 87","paulinep","S-1-5-21-331390976-2650875657-2422772959-1714","Poirier","Poirier","Vice-président exécutif exploitation","pauline.poirier@contoso.fr","Paris"
